slug,uid,last_crawled,already_profiled
365scores,B3.006,20260612172228,yes
8fig,08.004,20260714011135,yes
Aidoc,B4.007,20260714010313,yes
Cellebrite,C3.00F,20260714013210,yes
Claroty,F2.004,20260609001345,yes
Datarails,53.005,20260714004302,no
Elementor,A3.00F,20260717021251,no
Insycle,D3.002,20260714005210,no
SolarEdge,71.00A,20260717022719,yes
a_security,EA.007,20260717015001,no
acclaim,CA.00B,20260717013144,no
agora,08.007,20260608232836,yes
aiphoria,CA.00B,20260606042419,no
aka_food,79.00D,20260607043542,no
akeyless,27.006,20260714002925,no
alice,D5.005,20260718033100,yes
allcloud,71.008,20260608225631,no
almaobservatory,F5.001,20260610205250,no
amimon,50.00C,20260614230626,no
anchorfintech,87.00D,20260716072318,yes
appstock,DA.003,20260715110637,no
aretehealthpt,AA.006,20260608225521,no
arpeely,57.001,20260612180448,yes
artlist,85.003,20260610221404,no
askai,1A.00C,20260610153743,no
aspectiva,35.000,20260611131943,no
atipica,71.007,20260720033044,no
augmedics,26.00C,20260718160039,no
autobrains,57.004,20260610150827,no
awager,29.00D,20260714002207,no
bdrsolutionsllc,79.00B,20260609001108,no
bizzabo,A5.000,20260710081204,no
blinkops,C7.004,20260606110622,no
blockaid,69.00B,20260717141944,no
bluesnap,73.002,20260608091020,no
boaideas,EA.009,20260615113930,no
brandbastion,A7.008,20260614165410,no
brightdata,88.007,20260611164539,no
buildots,36.004,20260714004323,no
buyme,B2.008,20260715012150,no
caja,E3.00D,20260718030226,no
capslock,59.001,20260616033701,no
cardosystems,F2.003,20260607175916,yes
cbd,14.007,20260714004717,no
cellebrite,C3.00F,20260616030244,yes
checkmarx,C0.008,20260714011338,yes
citadel,33.003,20260613120555,no
citygardenmontessori,7A.00F,20260608082955,no
clarius,D7.009,20260710074105,no
clover_security,7A.00A,20260717023952,no
cognyte,F2.009,20260717141109,yes
comm-it,76.008,20260710082643,no
comunix,86.006,20260715073125,no
crossriver,C7.00F,20260716073751,yes
curve,E4.001,20260718212230,no
cyera,17.008,20260718022241,no
cymotive,F1.008,20260718215902,no
cynet,33.00D,20260717020728,yes
dailydev,C8.003,20260718173039,no
dealhub,86.005,20260608235610,yes
deepdub,E7.00C,20260715071310,no
dfcu,B9.005,20260615050943,no
dlapiper,FA.000,20260717015226,no
docontrol,07.003,20260714005440,no
draftt,3A.00F,20260606051119,no
dragonfligroup,48.005,20260717015428,no
dreamedai,B9.002,20260606053208,no
drivenets,72.006,20260714003551,yes
droxiai,1A.001,20260718204806,no
duve,58.00D,20260607175630,no
dyg,58.009,20260714011750,no
eesagency,FA.009,20260717020043,no
enercon,A4.00D,20260718152328,yes
esh,87.003,20260718145159,no
etoro,41.009,20260718022720,yes
eyesatop,FA.006,20260720044344,no
fansided,59.00B,20260716075348,no
feedvisor,11.00A,20260613124324,no
fetcherr,68.006,20260717144709,yes
final,C0.009,20260717144911,yes
firebolt,26.004,20260718032048,no
firefly,39.000,20260611165227,no
firstalliancecreditunion,99.00D,20260714101741,no
flare,36.00F,20260717022521,no
flexor,F9.006,20260610220354,no
flo_optics,EA.00E,20260722042612,no
fluenttech,E5.00E,20260718211534,no
folxhealth,76.00D,20260610213302,no
framesecurity,FA.002,20260714003046,no
freightos,F0.000,20260612174208,no
fusion92,C8.00F,20260715094905,no
g2risksolutions,C9.003,20260610213840,no
gelt,FA.005,20260715065959,no
gemtechnologiesinc,58.007,20260713035920,no
geoedge.com,82.00A,20260616030041,no
glasshouse,A9.004,20260716084024,no
global-e,62.002,20260714010857,yes
goin,55.00E,20260718214337,no
grain,4A.000,20260710072551,no
grip,A8.001,20260608091014,no
groundcover,88.008,20260715080832,no
growthspace,D7.00A,20260608230943,no
guardio,57.000,20260714003114,yes
guesty,10.000,20260608085703,yes
guideline,89.009,20260713030644,no
halon,B5.00E,20260710075809,no
historictoursofamerica,8A.00D,20260716081641,no
holganix,8A.00F,20260716075053,no
hub-technologies,07.00F,20260713032414,no
hunters,67.007,20260714012339,no
hyperguest,09.00B,20260714005317,no
hypernative,8A.00E,20260606043654,no
iamusconsulting,D8.00F,20260711025150,no
igentify,18.002,20260718032949,no
immunai,37.009,20260718202419,no
incredibuild,66.00F,20260710200801,no
infinidat,D6.003,20260718215121,no
innovaderm,15.003,20260714011052,no
innovativeskincare,59.00F,20260718150917,no
insightec,4A.004,20260609002511,yes
inspira,57.006,20260713040329,no
inspiredhr,7A.008,20260610211715,no
intuitionrobotics,B3.00B,20260714012608,no
ironscales,1A.007,20260614170935,no
island,09.00A,20260611140431,yes
itsolutions,B2.00F,20260615112511,no
ivix,09.002,20260715013525,no
jether-energy,87.001,20260612171803,no
joinattil,38.00A,20260710200055,no
kelasys,2A.007,20260715094708,no
keshet,26.009,20260711012958,no
keter-north-america,E3.001,20260718153210,no
knostic,0A.007,20260715003608,no
komodor,96.005,20260616032749,no
lakecomm911,2B.005,20260717023402,no
ledgebrook,D9.006,20260609002454,no
legitsecurity.com,37.004,20260716084200,yes
lemalabs,EA.001,20260710074843,no
levl,C4.005,20260714005058,no
lili,A6.009,20260718160100,no
linxsecurity,99.00C,20260715103200,no
liveu,90.00C,20260715014705,yes
ludeo,D7.008,20260717013841,no
lumenis,A1.00C,20260718123233,yes
magalsolutions,7A.005,20260718154852,no
maoz_il,19.00C,20260617041555,no
matrix-ifs,19.00F,20260717023213,no
mcfarlandcity,7A.002,20260715013401,no
medicalreviewinstituteofamerica,39.004,20260718203846,no
medone,58.006,20260608084534,no
medvidi,2A.003,20260616025222,no
megoafek,7A.003,20260717015059,no
mentee_robotics,6A.002,20260612172624,no
metalbear,8A.002,20260608233644,no
milpower,D4.00B,20260714012012,no
minerva,3A.007,20260717020326,no
minimus,19.00B,20260714000443,no
minutemedia,45.00A,20260714004547,no
mitiga,26.00B,20260718183344,no
mitrelli,F6.008,20260608081725,no
monday,41.00B,20260714012517,no
moonshot,87.005,20260717145407,no
moovit,63.007,20260718111830,no
morphisec,65.00C,20260714012728,no
mrioa,39.004,20260710083243,no
nationalmathcamps,F9.002,20260606045740,no
native,5A.00A,20260714012436,no
nayax,13.009,20260608232719,no
neusecharterschool,CA.007,20260716082630,no
nexite,37.000,20260714011901,no
nominal,E8.003,20260720043625,no
noname,86.001,20260610211530,no
novidea,E5.00A,20260608234120,yes
nymhealth,46.005,20260608231142,no
octup,4A.003,20260607170125,no
onebeat,0A.000,20260717014317,no
optibus,D1.00C,20260608083144,yes
orbit_communication_systems,2B.008,20260609001042,no
orchid_security,4A.001,20260716084137,no
oscarmike,55.00E,20260615050352,no
outerbox,49.00D,20260714002551,no
overwolf,B1.001,20260714005656,no
ox_security,F8.006,20260608091931,no
paharainstitute,6A.007,20260717022325,no
parcelly,08.00D,20260714003432,no
passportcard,92.00A,20260713145853,no
paymentology,38.007,20260718175729,no
pentera,C5.00D,20260714001614,yes
percepto,44.000,20260714005732,yes
personetics,83.00A,20260714010628,yes
pinnaclehomecare,1B.00E,20260717014931,no
pipl,22.008,20260606045709,no
plumbingsolutionsllc,BA.002,20260711030016,no
port,59.004,20260608233327,yes
ppcr,0A.008,20260610221653,no
ptc,32.005,20260710203159,no
pushoperations,3A.006,20260715100951,no
qedma,7A.006,20260607175122,no
quantummachines,D6.000,20260715074909,no
quris,17.000,20260715010109,no
rapyd,73.00E,20260718111032,yes
razorlabs,A5.002,20260717014805,no
reco,3A.00D,20260715071109,no
redefinemeat,28.004,20260609001647,no
regulus,9A.00D,20260716084113,no
rekor,96.007,20260713030222,no
resolvglobal,BA.006,20260717023807,no
rewire,34.00D,20260713034233,no
riverside-fm,66.009,20260714001243,yes
rocoto,50.00C,20260717023617,no
roiagency,CA.00A,20260616024816,no
rounds,59.005,20260616024344,no
sansartecllc,F9.00E,20260713034930,no
saymine,39.003,20260608082710,no
scylladb,E4.006,20260714011156,yes
seasecuirty,C9.00A,20260710082442,no
sedric,0A.00F,20260710083842,no
seekingalpha,46.006,20260714013419,no
sentra,87.00B,20260608081912,no
sequoiaconnect,45.004,20260711021314,no
seraphicsecurity,0A.009,20260715010419,no
sgr,1B.008,20260715071844,no
shva,1B.007,20260714013149,no
sightful,26.00D,20260607045705,no
silk,F6.00C,20260720043048,no
silvalininghr,DA.005,20260616024509,no
silverfort,54.007,20260714003857,yes
skai,22.00A,20260717022620,yes
smart-shooter,0B.00A,20260718212956,no
snapscale,C9.006,20260715071824,no
sorbet,17.002,20260714011709,no
spark-hire,30.005,20260612180625,no
sparsolutions,89.00A,20260715072156,no
spines,2B.001,20260715070650,no
spinframe,C9.000,20260715013054,no
starkware,C6.00E,20260710071814,no
streamsecurity,39.008,20260710084303,no
sunbit,37.001,20260711025927,no
supercom,46.00A,20260717151518,no
tabnine,39.006,20260718202955,no
tailormed,E5.009,20260720043425,no
tango,B7.007,20260608234250,no
team8,61.003,20260714010401,yes
teambuilderrecruiting,45.003,20260608091927,no
teamwork,F6.005,20260710071925,no
tencyle,59.00A,20260717143333,no
thesandbox,57.008,20260715075641,no
thetaray,72.00F,20260717145141,yes
toloka,98.00B,20260714003526,no
trigo,A6.005,20260608231546,yes
tripleten,98.008,20260718144007,no
tufin,A1.00B,20260714004700,no
upwind,49.004,20260718143152,no
utila,D9.00F,20260714004827,no
uveye,92.00F,20260714001925,no
vastdata,43.001,20260609000507,yes
vertuagent,D9.00D,20260716074710,no
vetric,A9.009,20260614164709,no
visanahealth,0B.008,20260715071503,no
voyantis,86.00B,20260714002440,no
vpgsensors,C8.009,20260714000902,no
walmart,35.000,20260717020617,no
weski,F8.00C,20260718153330,yes
winn_ai,4A.00F,20260715004643,no
withfaye,87.00A,20260714001437,no
wonderful,7A.004,20260716074335,no
yinzcam,2A.008,20260718155604,no
zafran_io,49.009,20260610221007,no
zeroport,7A.00E,20260607043955,no
zyg,DA.006,20260717023058,no
