slug,uid,company,jobs,israel_jobs,reason
Datarails,53.005,,0,0,no token for this slug/uid pair
Elementor,A3.00F,,0,0,board is empty
Insycle,D3.002,,0,0,board is empty
acclaim,CA.00B,Acclaim,11,0,"no Israel-relevant postings in a target job family (11 on board, 0 Israel-relevant)"
aiphoria,CA.00B,Acclaim,11,0,"no Israel-relevant postings in a target job family (11 on board, 0 Israel-relevant)"
aka_food,79.00D,,0,0,board is empty
almaobservatory,F5.001,,0,0,board is empty
amimon,50.00C,Rocoto,1,0,"no Israel-relevant postings in a target job family (1 on board, 0 Israel-relevant)"
appstock,DA.003,Appstock,1,1,"no Israel-relevant postings in a target job family (1 on board, 1 Israel-relevant)"
aretehealthpt,AA.006,Arete' Health PT,35,0,"no Israel-relevant postings in a target job family (35 on board, 0 Israel-relevant)"
atipica,71.007,,0,0,no token for this slug/uid pair
augmedics,26.00C,,0,0,board is empty
awager,29.00D,,0,0,board is empty
bdrsolutionsllc,79.00B,BDR Solutions LLC,55,21,no PHYSICAL Israeli posting - all 21 on-family roles are bare-remote at a foreign employer
bizzabo,A5.000,Bizzabo,13,1,"no Israel-relevant postings in a target job family (13 on board, 1 Israel-relevant)"
bluesnap,73.002,,0,0,no token for this slug/uid pair
brandbastion,A7.008,,0,0,no token for this slug/uid pair
caja,E3.00D,,0,0,no token for this slug/uid pair
capslock,59.001,CapsLock,189,51,no PHYSICAL Israeli posting - all 26 on-family roles are bare-remote at a foreign employer
cbd,14.007,CBD,60,0,"no Israel-relevant postings in a target job family (60 on board, 0 Israel-relevant)"
citadel,33.003,,0,0,board is empty
citygardenmontessori,7A.00F,City Garden Montessori,8,0,"no Israel-relevant postings in a target job family (8 on board, 0 Israel-relevant)"
clarius,D7.009,Clarius Mobile Health,17,0,"no Israel-relevant postings in a target job family (17 on board, 0 Israel-relevant)"
comunix,86.006,,0,0,board is empty
curve,E4.001,Curve,1,0,"no Israel-relevant postings in a target job family (1 on board, 0 Israel-relevant)"
cymotive,F1.008,,0,0,board is empty
dailydev,C8.003,,0,0,no token for this slug/uid pair
deepdub,E7.00C,Deepdub,46,3,"no Israel-relevant postings in a target job family (46 on board, 3 Israel-relevant)"
dfcu,B9.005,Deseret First Credit Union,4,0,"no Israel-relevant postings in a target job family (4 on board, 0 Israel-relevant)"
dlapiper,FA.000,,0,0,board is empty
docontrol,07.003,,0,0,no token for this slug/uid pair
dragonfligroup,48.005,Dragonfli Group,6,0,"no Israel-relevant postings in a target job family (6 on board, 0 Israel-relevant)"
dreamedai,B9.002,,0,0,board is empty
duve,58.00D,DUVE,7,0,"no Israel-relevant postings in a target job family (7 on board, 0 Israel-relevant)"
dyg,58.009,,0,0,board is empty
eesagency,FA.009,EES Agency,8,0,"no Israel-relevant postings in a target job family (8 on board, 0 Israel-relevant)"
esh,87.003,esh,1,1,"no Israel-relevant postings in a target job family (1 on board, 1 Israel-relevant)"
fansided,59.00B,FanSided,42,0,"no Israel-relevant postings in a target job family (42 on board, 0 Israel-relevant)"
feedvisor,11.00A,Feedvisor,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
firebolt,26.004,Firebolt,3,0,"no Israel-relevant postings in a target job family (3 on board, 0 Israel-relevant)"
firstalliancecreditunion,99.00D,First Alliance Credit Union,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
folxhealth,76.00D,,0,0,no token for this slug/uid pair
fusion92,C8.00F,Fusion92,8,0,"no Israel-relevant postings in a target job family (8 on board, 0 Israel-relevant)"
gelt,FA.005,Gelt,6,0,"no Israel-relevant postings in a target job family (6 on board, 0 Israel-relevant)"
gemtechnologiesinc,58.007,,0,0,no token for this slug/uid pair
glasshouse,A9.004,GlassHouse Systems,10,0,"no Israel-relevant postings in a target job family (10 on board, 0 Israel-relevant)"
goin,55.00E,,0,0,no token for this slug/uid pair
halon,B5.00E,Halon,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
historictoursofamerica,8A.00D,Historic Tours of America,61,0,"no Israel-relevant postings in a target job family (61 on board, 0 Israel-relevant)"
holganix,8A.00F,Holganix,15,0,"no Israel-relevant postings in a target job family (15 on board, 0 Israel-relevant)"
hub-technologies,07.00F,,0,0,board is empty
hunters,67.007,,0,0,board is empty
hyperguest,09.00B,HyperGuest,1,0,"no Israel-relevant postings in a target job family (1 on board, 0 Israel-relevant)"
iamusconsulting,D8.00F,IAMUS Consulting,29,0,"no Israel-relevant postings in a target job family (29 on board, 0 Israel-relevant)"
igentify,18.002,,0,0,no token for this slug/uid pair
