name,size,careers,ats,jsonld,where,err
Lonza,xl,https://www.lonza.com/careers,,False,,careers page unreachable
Trellix,xl,https://careers.trellix.com/,,False,,
NI,xl,https://www.ni.com/en/about-ni/careers.html,,False,,
TEOCO,xl,https://www.teoco.com/company/careers/,,False,,
SICK,xl,https://www.sick.com/us/en/company/careers-at-sick/w/careers-listings/,,False,,careers page unreachable
Magic Leap,xl,https://www.magicleap.com/careers,greenhouse,False,,
Zynga,xl,https://www.zynga.com/jobs/careers/,,False,,
Microchip,xl,https://www.microchip.com/en-us/about/careers,,False,,careers page unreachable
Viaccess-Orca,xl,https://www.viaccess-orca.com/careers,,False,,
Nuance Communications,xl,https://www.nuance.com/about-us/careers.html,,False,,
E.ON,xl,https://jobs.eon.com/en,,False,,
Cornerstone OnDemand,xl,https://www.cornerstoneondemand.com/careers/,,False,,
ZOLL Medical,xl,https://www.zoll.com/contact/careers-at-zoll,workday,False,,
Maxlinear,xl,https://www.maxlinear.com/company/careers,,False,,
Phibro Animal Health,xl,https://jobs.pahc.com/,,False,,
Paradox,xl,https://careers.paradox.ai/,workday,False,,
Snap,xl,https://careers.snap.com/jobs,,False,,
Bio-Rad Laboratories,xl,https://www.bio-rad.com/en-in/corporate/careers?ID=1004,,False,,careers page unreachable
Tricentis Israel,xl,https://www.tricentis.com/company/careers,workday,False,,
Genesys,xl,https://www.genesys.com/company/careers,workday,False,,
Carl Zeiss,xl,https://www.zeiss.com/semiconductor-manufacturing-technology/career.html,,False,,
Barracuda Networks,xl,https://www.barracuda.com/company/careers,,False,,
NEC Corporation,xl,https://careers.nec.com/,,False,,
Align Technology,xl,https://jobs.aligntech.com/careers,,False,,
OPPO,xl,https://career.oppo.com/,,False,,
Johnson & Johnson,xl,https://www.careers.jnj.com/,workday,False,,
Ribbon Communications,xl,https://ribboncommunications.com/company/careers,workday,False,,
CommScope,xl,https://jobs.commscope.com/,,False,,
888,xl,https://www.evokeplc.com/careers/,,False,,
Motorola Solutions,xl,https://www.motorolasolutions.com/en_us/about/careers.html,,False,,careers page unreachable
AT&T,xl,https://www.att.jobs/,workday,False,,
Allied Universal Electronic Monitoring International,xl,https://jobs.aus.com/,,False,,
Agoda.com,xl,https://careersatagoda.com/,,False,,
SailPoint,xl,https://www.sailpoint.com/company/careers/,,False,,careers page unreachable
Novo Nordisk,xl,https://www.novonordisk.com/careers.html,,False,,
Bottomline Technologies,xl,https://www.bottomline.com/us/about/careers,,False,,
Recipharm,xl,https://www.recipharm.com/careers,,False,,
SAP,xl,https://jobs.sap.com/,,False,,
Jabil,xl,https://careers.jabil.com/en/,workday,False,,
Edwards Lifesciences,xl,https://www.edwards.com/careers,,False,,
NovoCure,l,https://www.novocure.com/careers/,,False,,careers page unreachable
Shamir Optical Industry,l,https://shamir.com/sg/careers/,,False,,
F5 Networks,l,https://www.f5.com/company/careers/,,False,,careers page unreachable
TytoCare,l,https://www.tytocare.com/careers/,,False,,
Hailo,l,https://hailo.ai/company-overview/careers/,,False,,
Microsoft,l,https://careers.microsoft.com/,,False,,
Thrive DX,l,https://thrivedx.com/careers,,False,,careers page unreachable
Accenture,l,https://www.accenture.com/us-en/careers,workday,False,,
Avgol,l,https://www.avgol.com/careers/,,False,,
Starburst Aerospace,l,https://www.starburst.io/careers/,,False,,
Manpowergroup Israel Holdings,l,https://www.manpowergroup.com/en/careers,,False,,
REE Automotive,l,https://ree.auto/about/career/,,False,,
Versatile,l,https://www.versatile.ai/careers/,,True,listing,
Israel Aerospace Industries,l,https://www.iai.co.il/about/working-at-iai,,False,,careers page unreachable
Nordson,l,https://www.nordson.com/en/about-us/careers,,False,,careers page unreachable
Gong.io,l,https://www.gong.io/careers/,,False,,careers page unreachable
TSG,l,https://www.tsgitsystems.com/en/careers,,False,,careers page unreachable
Mavenir,l,https://www.mavenir.com/about/careers/,workday,False,,
Akamai Technologies,l,https://www.akamai.com/careers,,False,,careers page unreachable
Astroscale,l,https://astroscale.com/careers/,,False,,careers page unreachable
CallApp Software,l,https://callapp.com/jobs,,False,,
Radware,l,https://www.radware.com/careers/,,False,,
Applause,l,https://www.applause.com/jobs/,,False,,
Schneider Electric,l,https://www.se.com/us/en/about-us/careers/overview.jsp,,False,,careers page unreachable
CyberProof,l,https://www.cyberproof.com/career-opportunities/,,False,,
Exabeam,l,https://www.exabeam.com/company/careers/,,False,,
Albaad,l,https://www.albaad.com/about-us/careers/,,False,,careers page unreachable
ada,l,https://www.ada.org/jobs-at-the-ada,,False,,
Teva Pharmaceuticals,l,https://www.tevapharm.com/your-career/,,False,,
Oracle,l,https://www.oracle.com/careers/,,False,,
abra,l,https://www.abra-it.com/career/,,False,,
Toga Networks,l,https://toganetworks.com/careers/,,False,,
Broadcom,l,https://www.broadcom.com/company/careers,,False,,
AGS,l,https://careers.playags.com/,,False,,careers page unreachable
Hazera,l,https://career.hazera.com/,,False,,careers page unreachable
Ex Libris,l,https://exlibrisgroup.com/careers/,,False,,
Outform,l,https://www.outform.com/careers/,,False,,
XM Cyber,l,https://xmcyber.com/job-listing/,,False,,
FINN Partners,l,https://www.finnpartners.com/careers/,,False,,
AlgoSec,l,https://www.algosec.com/lp/careers/,,False,,
Marvell,l,https://www.marvell.com/company/careers.html,,False,,careers page unreachable
