tier,company,ats,id,api_endpoint,rnd_jobs,total_jobs,category,size,top_cities,hiring_evidence,id_source,status,jobs,israel_jobs,host
A,Mobileye,lever,mobileye,https://api.lever.co/v0/postings/mobileye?mode=json  (EU: api.eu.lever.co),64,87,Automotive,l,ירושלים,live R&D jobs in feed,web_search(URL observed),ok,137,117,lever_eu
A,SolarEdge Technologies,comeet,SolarEdge/71.00A,https://www.comeet.co/careers-api/2.0/company/71.00A/positions?token=71.00A,25,38,Sustainable Technology,l,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,110,36,comeet
A,VAST Data,comeet,vastdata/43.001,https://www.comeet.co/careers-api/2.0/company/43.001/positions?token=43.001,25,30,Cloud Computing,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,238,38,comeet
A,DriveNets,comeet,drivenets/72.006,https://www.comeet.co/careers-api/2.0/company/72.006/positions?token=72.006,22,25,Productivity,l,רעננה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,29,24,comeet
A,Island,comeet,island/09.00A,https://www.comeet.co/careers-api/2.0/company/09.00A/positions?token=09.00A,16,21,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,57,17,comeet
A,Aidoc,comeet,Aidoc/B4.007,https://www.comeet.co/careers-api/2.0/company/B4.007/positions?token=B4.007,15,18,Health,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,ok,0,0,comeet
A,Wiz,greenhouse,wizprivate,https://boards-api.greenhouse.io/v1/boards/wizprivate/jobs,13,22,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed),ok,2,0,greenhouse
A,BIRD Aerosystems,comeet,birdaero/97.006,https://www.comeet.co/careers-api/2.0/company/97.006/positions?token=97.006,12,16,Aerospace,m,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,17,0,comeet
A,CEVA,comeet,ceva/76.005,https://www.comeet.co/careers-api/2.0/company/76.005/positions?token=76.005,12,14,Productivity,l,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,37,18,comeet
A,WalkMe,lever,walkme,https://api.lever.co/v0/postings/walkme?mode=json  (EU: api.eu.lever.co),11,17,Productivity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed),ok,49,17,lever
A,Cellebrite,comeet,Cellebrite/C3.00F,https://www.comeet.co/careers-api/2.0/company/C3.00F/positions?token=C3.00F,10,14,Cybersecurity,l,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,64,18,comeet
A,Cross River Technologies,comeet,crossriver/C7.00F,https://www.comeet.co/careers-api/2.0/company/C7.00F/positions?token=C7.00F,10,16,Fintech,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,16,16,comeet
A,D-Fend Solutions,lever,d-fendsolutions,https://api.lever.co/v0/postings/d-fendsolutions?mode=json  (EU: api.eu.lever.co),10,12,Aerospace,m,רעננה,live R&D jobs in feed,techmap/companies,ok,31,25,lever
A,Ceragon Networks,comeet,Ceragon/D3.003,https://www.comeet.co/careers-api/2.0/company/D3.003/positions?token=D3.003,9,14,Telecommunications,l,ראש העין,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,48,13,comeet
A,Forter,greenhouse,forter,https://boards-api.greenhouse.io/v1/boards/forter/jobs,9,13,Fintech,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,ok,40,15,greenhouse
A,Transmit Security,greenhouse,transmitsecurity,https://boards-api.greenhouse.io/v1/boards/transmitsecurity/jobs,9,11,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,ok,15,11,greenhouse
A,Fireblocks,greenhouse,fireblocks,https://boards-api.greenhouse.io/v1/boards/fireblocks/jobs,8,11,Fintech,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; web_search(URL observed),ok,71,12,greenhouse
A,Retym,comeet,retym/C6.003,https://www.comeet.co/careers-api/2.0/company/C6.003/positions?token=C6.003,8,13,Productivity,s,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,35,14,comeet
A,Silverfort,comeet,silverfort/54.007,https://www.comeet.co/careers-api/2.0/company/54.007/positions?token=54.007,8,10,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,30,11,comeet
A,Armis,greenhouse,armissecurity,https://boards-api.greenhouse.io/v1/boards/armissecurity/jobs,7,10,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed),ok,26,11,greenhouse
A,Arpeely,comeet,arpeely/57.001,https://www.comeet.co/careers-api/2.0/company/57.001/positions?token=57.001,7,14,AdTech,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,13,13,comeet
A,Cloudinary,lever,cloudinary,https://api.lever.co/v0/postings/cloudinary?mode=json  (EU: api.eu.lever.co),7,11,Cloud Computing,l,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,29,11,lever
A,Enercon,comeet,enercon/A4.00D,https://www.comeet.co/careers-api/2.0/company/A4.00D/positions?token=A4.00D,7,10,Aerospace,m,נתניה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,9,9,comeet
A,HiBob,comeet,hibob/12.00A,https://www.comeet.co/careers-api/2.0/company/12.00A/positions?token=12.00A,7,15,Productivity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,dead_or_blocked,,,
A,Moon Active,comeet,moonactive/A2.00C,https://www.comeet.co/careers-api/2.0/company/A2.00C/positions?token=A2.00C,7,20,Gaming,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,ok,0,0,comeet
A,Navan,greenhouse,TripActions,https://boards-api.greenhouse.io/v1/boards/TripActions/jobs,7,9,E-commerce & Retail,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies,ok,209,8,greenhouse
A,Netafim,comeet,netafim/B7.002,https://www.comeet.co/careers-api/2.0/company/B7.002/positions?token=B7.002,7,18,Sustainable Technology,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,48,29,comeet
A,NextSilicon,comeet,nextsilicon/18.007,https://www.comeet.co/careers-api/2.0/company/18.007/positions?token=18.007,7,15,Semiconductors,l,גבעתיים,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,35,13,comeet
A,Wiliot,comeet,wiliot/F6.003,https://www.comeet.co/careers-api/2.0/company/F6.003/positions?token=F6.003,7,8,IoT,l,קיסריה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,21,9,comeet
A,ACS Motion Control,comeet,ACS/14.000,https://www.comeet.co/careers-api/2.0/company/14.000/positions?token=14.000,6,12,Robotics & Automation,m,יקנעם עילית,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,15,11,comeet
A,ActiveFence,comeet,activefence/D5.005,https://www.comeet.co/careers-api/2.0/company/D5.005/positions?token=D5.005,6,12,Cybersecurity,l,בנימינה גבעת עדה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,33,18,comeet
A,Aitech,comeet,aitechsystems/88.004,https://www.comeet.co/careers-api/2.0/company/88.004/positions?token=88.004,6,7,Aerospace,l,כפר סבא,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,19,9,comeet
A,Fetcherr,comeet,fetcherr/68.006,https://www.comeet.co/careers-api/2.0/company/68.006/positions?token=68.006,6,7,AI/ML,m,נתניה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,40,16,comeet
A,Innoviz Technologies,comeet,innoviz/52.004,https://www.comeet.co/careers-api/2.0/company/52.004/positions?token=52.004,6,8,Cybersecurity,l,Rosh Haayin,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,11,11,comeet
A,mPrest,comeet,mprest/38.005,https://www.comeet.co/careers-api/2.0/company/38.005/positions?token=38.005,6,8,IoT,m,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,7,7,comeet
A,Parallel Wireless,lever,parallelwireless,https://api.lever.co/v0/postings/parallelwireless?mode=json  (EU: api.eu.lever.co),6,6,Telecommunications,l,צור יגאל,live R&D jobs in feed,techmap/companies,ok,31,8,lever
A,Plus500,comeet,plus500/A1.00F,https://www.comeet.co/careers-api/2.0/company/A1.00F/positions?token=A1.00F,6,21,Fintech,l,חיפה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,15,15,comeet
A,Riverside.fm,comeet,riverside-fm/66.009,https://www.comeet.co/careers-api/2.0/company/66.009/positions?token=66.009,6,14,AI/ML,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,20,13,comeet
A,SimilarWeb,greenhouse,similarweb,https://boards-api.greenhouse.io/v1/boards/similarweb/jobs,6,19,Productivity,l,גבעתיים,live R&D jobs in feed,techmap/companies; web_search(URL observed),ok,65,23,greenhouse
A,Claroty,comeet,Claroty/F2.004,https://www.comeet.co/careers-api/2.0/company/F2.004/positions?token=F2.004,5,9,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,20,8,comeet
A,CYE,lever,CYE,https://api.lever.co/v0/postings/CYE?mode=json  (EU: api.eu.lever.co),5,6,Cybersecurity,m,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live),ok,11,9,lever
