company,website,workable_company_id,postings,israel_located
"1GLOBAL",https://www.1global.com/,b0e41ed0-88e5-4d71-9cf7-b10c10daea77,1,1
"AccessFintech",https://www.accessfintech.com/,e1d1aa7f-6e35-44dc-9cac-656fd853beab,1,1
"Autofleet",https://www.autofleet.io/,ff5401ab-94e3-4c0b-8e74-32a07aaddfbf,8,8
"CXG",https://www.customerexperiencegroup.com/,6b9d313f-01a6-4baf-aa15-7c3fef9e7611,2,2
"CloudShare",http://www.cloudshare.com/about-us/careers,548036df-1b79-4a87-a44f-03c23f341dcc,1,1
"D-ID",https://www.d-id.com/,d012ed93-44c4-417c-ab23-cce33acaeae3,1,1
"D-ploy",https://d-ploy.ch/,4d185c91-13ff-4f5d-9c60-ca77e9df6c3d,1,1
"Eumedical",http://www.eumedical.es/en,15aff3a7-51ae-469b-8959-ff294251a67f,1,1
"FPM Global",https://fpm.global/,7dc773e5-e4e2-4398-8894-b2cc8c50eef4,1,1
"GOARC",https://go-arc.com/,4961f135-0374-44cf-ab4e-ee1faf885533,2,2
"Gramian Consulting Group",http://gramianconsulting.com,9eb9de0d-efd9-4fa4-8c4e-8d3e66b7c2ee,1,1
"Healthee",http://Healthee.com,97eceefb-ad83-40dd-9a91-020967734926,1,1
"Humanz",https://www.humanz.com/,2815d9f8-a321-4579-9300-18d5f5247bee,2,2
"Huzzle",https://www.huzzle.com/talents,c3780b61-cfb4-42bd-b7ab-643dd99ed282,1,1
"JoVE",https://www.jove.com/,79e93ce6-dd77-4d08-9a1d-13399e5f30e4,1,1
"L.Raphael",http://www.l-raphael.com,e98aa1de-898c-4c7f-995d-3b3afa00b4a9,1,1
"Libertex Group",https://www.libertexgroup.com/,8541ac80-101f-4528-b3a5-955c9d11f99a,1,1
"Mench",https://mench-adv.co.il/,82a3ba49-2c4e-4240-9a31-18753b897347,8,8
"Mindrift",https://mindrift.ai/,cb578f2b-636b-4c59-9b9c-7b53a861febe,15,15
"Mindrift - Data annotation",https://toloka.ai/,92eccb2b-7579-42ec-a79b-75fd4840ba72,1,1
"Nuvei",https://nuvei.com,5b13c284-ee64-42b4-99f5-f8c251615396,8,8
"Oikonomakis Law Firm",https://oikonomakislaw.com/el/,9905e7bf-6a63-434f-bcd0-f85e3dbafaf2,1,1
"Oversee",https://oversee.biz/,f4aa7b2f-47e2-4878-a47d-da62bf25cb00,1,1
"Plateful",https://www.plateful.co/,24215e98-27c7-4f4a-bb15-8b37b5dc66fd,1,1
"Premium Merchant Funding",http://pmfus.com,57025caa-d463-4e06-8c55-db1016733d6d,3,3
"REAL DEV INC",https://www.real.dev,d9453e81-fc9f-4313-aac1-71538f690f09,6,6
"Rayzone Group",http://www.rayzoneg.com,10ff34e4-36b5-447c-bd0d-476cb4924d71,3,3
"Regatta",http://www.regatta.dev,5fb753cb-04ad-4d45-8707-e4e0f0647188,6,6
"Risco Group",https://riscogroup.com/en/,79d1529b-23a6-4a14-8055-20090dbe42b0,11,11
"Shifters",https://www.shifters-ai.com/,678bdbc9-3542-4cc0-bfc1-497397500b05,6,6
"Side",https://www.side.inc,cf0442b5-4c1a-4872-aac1-4f6e2af8d5d4,11,11
"Sigenergy",https://www.sigenergy.com/en,a02b6016-3149-4f43-bb57-53846f9f1d0d,1,1
"Square One",https://squareone.com.cy/,0fcfc0af-caf9-49f7-b3cb-9d3a6d14e3b3,2,2
"TAT Technologies Ltd",https://tat-technologies.com/,30f1c799-3a36-4e82-b53b-91a381c951a4,3,3
"Tomax Think Academy",http://tomax.io,dff5e74f-4592-4f64-a3f4-d9c2756a5a62,6,6
"Visit.org",https://www.visit.org/,7dc44126-6fb6-4c58-86e9-06edde318c39,2,2
"Volga Partners",https://volgapartners.com/,efd5baaf-4961-4244-9788-829e291263d5,1,1
"my team",https://myteam.team/,7826c5a0-a2c0-4b45-b4db-e74131e808d5,18,18
