company,size,route,ats,id,confidence,jobs,israel_jobs,on_family
Autofleet,?,workable_israel_feed,workable,autofleet,verified,9,8,8
Nuvei,?,workable_israel_feed,workable,nuvei,verified,73,8,8
Mench,?,workable_israel_feed,workable,mench,verified,8,8,5
REAL DEV INC,?,workable_israel_feed,workable,real-dev-inc,verified,10,6,4
Rayzone Group,?,workable_israel_feed,workable,rayzone-group,verified,3,3,3
TAT Technologies Ltd,?,workable_israel_feed,workable,tat-technologies-ltd,verified,14,3,2
1GLOBAL,?,workable_israel_feed,workable,1global,verified,64,1,1
AccessFintech,?,workable_israel_feed,workable,accessfintech,verified,8,1,1
CXG,?,workable_israel_feed,workable,cxg,verified,1396,2,1
D-ID,?,workable_israel_feed,workable,d-id,verified,2,2,1
D-ploy,?,workable_israel_feed,workable,d-ploy,verified,102,1,1
Eumedical,?,workable_israel_feed,workable,eumedical,verified,23,1,1
GOARC,?,workable_israel_feed,workable,goarc,verified,3,1,1
Oikonomakis Law Firm,?,workable_israel_feed,workable,oikonomakis-law-firm,verified,19,1,1
Plateful,?,workable_israel_feed,workable,plateful,verified,24,2,1
Volga Partners,?,workable_israel_feed,workable,volga-partners,verified,103,1,1
